Id,Label,timeset,frequency,type,Degree,Weighted Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,modularity_class,componentnumber,clustering,triangles,eigencentrality,Cluster
Roselle S. Basa,Roselle S. Basa,,7,Source; Target,7,7,1,1,1,0.000076,35,39,0.52381,11,0.053994,14
Giovanni A. Tapang,Giovanni A. Tapang,,4,; Target,4,4,1,1,1,0,87,81,1,6,0.023356,34
Christian Edensor Arbon,Christian Edensor Arbon,,3,Source; Target,3,3,2,0.555556,0.6,0,58,38,1,3,0.032643,8
Larry Vea,Larry Vea,,4,Source; Target,4,4,2,0.642857,0.722222,0.000138,89,48,0.5,3,0.018223,10
Ruji Medina,Ruji Medina,,3,; Target,3,3,1,1,1,0,90,51,1,3,0.011623,38
Adrian Cordero,Adrian Cordero,,3,Source; Target,3,3,2,0.615385,0.6875,0,86,62,1,3,0.023001,12
Ray Carlo A̱onuevo,Ray Carlo A̱onuevo,,4,Source,4,4,4,0.391304,0.490741,0,24,29,1,6,0.029496,4
Marlene M. De Leon,Marlene M. De Leon,,2,; Target,2,2,1,1,1,0,1,6,1,1,0.00512,56
Trisha Regine P. Wang,Trisha Regine P. Wang,,4,Source; Target,4,4,1,1,1,0,82,57,1,6,0.023356,30
Mygel Andrei Martija,Mygel Andrei Martija,,2,Source,2,2,2,0.515625,0.530303,0,79,2,1,1,0.124892,0
Christian Paulo De Leon,Christian Paulo De Leon,,5,Source,5,5,1,1,1,0,78,10,1,10,0.043825,17
Prospero C. Naval,Prospero C. Naval,,3,Source; Target,3,3,1,1,1,0,47,73,1,3,0.011623,41
Ma. Anne Therese Musong,Ma. Anne Therese Musong,,1,Source,1,1,1,1,1,0,53,76,0,0,0.001684,78
