Source,Target,Weight
Emmanuel Asuncion Jr.,William James Custodio and Yun Sup Lee,1
Emmanuel Jon A. Magdaluyo,Andrei D. Coronel,1
Emmanuel Jon A. Magdaluyo,Geronimo Miguel M. Mantes,1
Emmanuel Jon A. Magdaluyo,Miguel Paolo A. Maglaque,1
Emmanuel M. Malaay,Anthony B. Castillo,1
Emmanuel M. Malaay,Ayman P. Cabotaje,1
Emmanuel M. Malaay,Michael B. Simora,1
Emmanuel M. Malaay,Ronald John O. Cabatic,1
Emmanuel M. Malaay,Ronald M. Pascual,1
Enrico M. Tria,John Paul C. Vergara,1
Enrico Sison,Ma. Regina Estuar,1
Ephraim D. Mendoza,Henry N. Adorna,1
Ephraim D. Mendoza,Nestine Hope S. Hernandez,1
Ephraim D. Mendoza,Richelle Ann B. Juayong,1
Eric R. Punzalan,Joel P. Ilao,1
Erika Ritzelle P. Bondoc,Francis Percival M. Caparas,1
Erika Ritzelle P. Bondoc,Jheanel E. Estrada,1
Erika Ritzelle P. Bondoc,John Eddie D. Macias,1
Erika Ritzelle P. Bondoc,Vileser T. Naculangga,1
Ervin Fernandez,Kevin Villanueva,2
Ethel Ong,Edlen Mari Sanchez,1
Ethel Ong,Jasmine Irene Ng,1
Ethel Ong,Mc Jervis Villaruel,1
Eva R. Samillano,Ernesto C. Boydon,1
Eva R. Samillano,Lorena R. Rabago,1
Eva R. Samillano,Paulo Miguel S. Capuz,1
Faith I. Ballesteros,Ernesto C. Boydon,1
Faith I. Ballesteros,Eva R. Samillano,1
Faith I. Ballesteros,Lorena R. Rabago,1
Faith I. Ballesteros,Paulo Miguel S. Capuz,1
Faramarz Ataollahi,Rafael A. Cabredo,1
Fatima Suzanne G. De Villa,Anna Janeri B. Ongcol,1
Fatima Suzanne G. De Villa,Bryan Adam B. Tan,1
Febrev F. Dela Cruz,Ma. Christina R. Aragon,1
Febrev F. Dela Cruz,Mark Lorenz F. Eustaquio,1
Febrev F. Dela Cruz,Melissa P. Juanillo,1
Fernito Llanita,Danny C. Cheng,1
Fernito Llanita,Miguel Mercado,1
Fili Emerson Chua,Jeno Paolo Rigor,1
Fili Emerson Chua,John Lawrence Peñafiel,1
Fili Emerson Chua,Nikkol John Morales,1
Francis,George C. Cabarle,1
Francis Bien Jan Viernes,Cedric Festin,1
Francis Bien Jan Viernes,Chynna Julia Cordevilla,1
Francis Bien Jan Viernes,Rafael Gerard Formes,1
Francis George C. Cabarle,Henry N. Adorna,4
Francis George C. Cabarle,Jym Paul Carandang,1
Francis George C. Cabarle,Kelvin Buño,2
Francis George C. Cabarle,Nestine Hope Hernandez,1
Francis George C. Cabarle,Nestine Hope S. Hernandez,1
Francis Jomer Gallardo,Armina Francisco,1
Francis Jon Olaso,Joseph Ordillano,1
Francis Jon Olaso,Novelle Anne Sinco,1
Francis Jon Olaso,Warren Adam Sto. Tomas,1
Francis Percival M. Caparas,Jheanel E. Estrada,1
Francis Percival M. Caparas,John Eddie D. Macias,1
Francis Percival M. Caparas,Vileser T. Naculangga,1
Fritz Kevin Flores,Arvin Medina,1
Fritz Kevin Flores,Joshua Manto,1
Fritz Kevin Flores,Naomi Mendaros,1
Gabriel Alberto A. Sanchez,John Paul C. Vergara,1
Gabriel Alberto A. Sanchez,Proceso Fernandez Jr,1
Gabriel Dominik E. Sison,Aimee B. Rarugal,1
Gabriel Dominik E. Sison,Giovanni A. Tapang,1
Gabriel Dominik E. Sison,Guido David,1
Gabriel Dominik E. Sison,Ulyses A. Solon Jr,1
Gabriel K. De Jesus,Alyssa Nicole N. Ty,1
Gabriel K. De Jesus,Carlo D. Mendoza,1
Gabriel K. De Jesus,John Paul C. Vergara,1
Genesis Ian Palaganas,Francis George C. Cabarle,1
Genesis Ian Palaganas,Henry N. Adorna,1
Geoffrey Solano,Bianca Camille Silmaro,1
Geoffrey Solano,Jaime DL Caro,1
Geoffrey Solano,Sun Arthur Ojeda,1
Geronimo Miguel M. Mantes,Andrei D. Coronel,1
Gian T. Salay,Marlene M. De Leon,1
Gimelle B. Gamilla,Allen L. Nazareno,1
Glen Charles Lopez,Jun Rangie Obispo,1
Glen Charles Lopez,Mark Joseph Ronquillo,1
